"","Psittacula_columboides","Psittacula_cyanocephala","Loriculus_vernalis","Coracina_melanoptera","Coracina_macei","Pericrocotus_flammeus","Pericrocotus_cinnamomeus","Aegithina_tiphia","Hemipus_picatus","Tephrodornis_gularis","Dendrocitta_vagabunda","Terpsiphone_paradisi","Hypothymis_azurea","Dicrurus_caerulescens","Dicrurus_paradiseus","Dicrurus_leucophaeus","Dicrurus_aeneus","Oriolus_chinensis","Oriolus_oriolus","Culicicapa_ceylonensis","Parus_xanthogenys","Parus_major","Phylloscopus_nitidus","Phylloscopus_magnirostris","Orthotomus_sutorius","Alcippe_poioicephala","Pellorneum_ruficeps","Turdoides_striata","Turdoides_subrufa","Rhopocichla_atriceps","Zosterops_palpebrosus","Pycnonotus_melanicterus","Pycnonotus_jocosus","Pycnonotus_priocephalus","Pycnonotus_cafer","Iole_indica","Gracula_religiosa","Sturnus_malabaricus","Acridotheres_fuscus","Turdus_merula","Cyornis_tickelliae","Eumyias_thalassinus","Muscicapa_dauurica","Sitta_frontalis","Sitta_castanea","Dicaeum_concolor","Nectarinia_minima","Nectarinia_asiatica","Irena_puella","Harpactes_fasciatus","Megalaima_viridis","Dinopium_benghalense","Dinopium_shorii","Dinopium_javanense","Picus_chlorolophus","Picus_squamatus","Chrysocolaptes_lucidus","Dendrocopos_mahrattensis","Dendrocopos_nanus","Hemicircus_canente","Picumnus_innominatus","Merops_leschenaulti"
"Species","Psittacula_columboides","Psittacula_cyanocephala","Loriculus_vernalis","Coracina_melanoptera","Coracina_macei","Pericrocotus_flammeus","Pericrocotus_cinnamomeus","Aegithina_tiphia","Hemipus_picatus","Tephrodornis_gularis","Dendrocitta_vagabunda","Terpsiphone_paradisi","Hypothymis_azurea","Dicrurus_caerulescens","Dicrurus_paradiseus","Dicrurus_leucophaeus","Dicrurus_aeneus","Oriolus_chinensis","Oriolus_oriolus","Culicicapa_ceylonensis","Parus_xanthogenys","Parus_major","Phylloscopus_nitidus","Phylloscopus_magnirostris","Orthotomus_sutorius","Alcippe_poioicephala","Pellorneum_ruficeps","Turdoides_striata","Turdoides_subrufa","Rhopocichla_atriceps","Zosterops_palpebrosus","Pycnonotus_melanicterus","Pycnonotus_jocosus","Pycnonotus_priocephalus","Pycnonotus_cafer","Iole_indica","Gracula_religiosa","Sturnus_malabaricus","Acridotheres_fuscus","Turdus_merula","Cyornis_tickelliae","Eumyias_thalassinus","Muscicapa_dauurica","Sitta_frontalis","Sitta_castanea","Dicaeum_concolor","Nectarinia_minima","Nectarinia_asiatica","Irena_puella","Harpactes_fasciatus","Megalaima_viridis","Dinopium_benghalense","Dinopium_shorii","Dinopium_javanense","Picus_chlorolophus","Picus_squamatus","Chrysocolaptes_lucidus","Dendrocopos_mahrattensis","Dendrocopos_nanus","Hemicircus_canente","Picumnus_innominatus","Merops_leschenaulti"
"F051","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F052","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F053","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F054","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F055","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F056","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"F057","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F058","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"F059","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F060","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F061","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F062","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F063","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F064","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"F065","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"F066","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F067","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"F068","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"F069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
